MONTH,DAYNIGHT,SITE,DATE,TIME,HR_SUNRISE,HR_SUNSET,FCH4,FCO2,FN2O,WATER_T,SED_T,P,CHL,O2_CONC,O2_PERCENT,PH,PCH4,PCO2,PN2O,DIC,DOC,CH4_k,CH4_kRAT,COND,EBULL,WIND,k600,CH4_TBLk,TBLCH4,TBLCO2,TBLN2O
AugDry,DAY,ENG,08/10/14,6:00,0.0,11.0,16.809,-93.330,-0.054,29.000,31.000,1008.300,7.146,0.415,5.575,7.380,NA,NA,NA,6.062,2.013,234.812,2.858,0.388910714,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,ENG,08/10/14,6:00,0.0,11.0,NA,NA,NA,29.000,31.000,1008.300,7.146,0.415,5.575,7.380,NA,NA,NA,6.126,1.735,0.000,0.000,0.388910714,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,ENG,08/10/14,6:00,0.0,11.0,5.865,123.768,-0.008,29.000,31.000,1008.300,7.146,0.415,5.575,7.380,NA,NA,NA,NA,NA,82.154,1.000,0.388910714,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,NAT,08/09/14,8:30,2.5,0.0,6.237,22.014,0.035,30.000,28.000,1007.700,50.114,1.880,24.787,8.103,NA,NA,NA,8.703,7.447,41.462,-0.410,0.628,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,NAT,08/09/14,8:30,2.5,0.0,18.019,NA,-0.011,30.000,28.000,1007.700,50.114,1.880,24.787,8.103,NA,NA,NA,9.055,6.969,125.443,-1.241,0.628,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,NAT,08/09/14,8:30,2.5,0.0,29.253,8.702,-0.017,30.000,28.000,1007.700,50.114,1.880,24.787,8.103,NA,NA,NA,9.339,6.851,-101.078,1.000,0.628,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,NAT,08/09/14,8:30,2.5,0.0,11.819,8.582,0.025,30.000,28.000,1007.700,50.114,1.880,24.787,8.103,NA,NA,NA,NA,NA,58.567,-0.579,0.628,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,NAT,08/09/14,10:30,4.5,0.0,2.919,46.377,0.058,29.000,29.000,1008.000,30.069,2.470,32.727,8.192,NA,NA,NA,8.946,7.554,19.049,1.000,0.629481481,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,NAT,08/09/14,10:30,4.5,0.0,3.941,-196.459,-0.044,29.000,29.000,1008.000,30.069,2.470,32.727,8.192,NA,NA,NA,9.459,7.269,20.394,1.071,0.629481481,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,NAT,08/09/14,10:30,4.5,0.0,6.404,-113.465,0.026,29.000,29.000,1008.000,30.069,2.470,32.727,8.192,NA,NA,NA,9.328,7.421,44.460,2.334,0.629481481,NA,NA,NA,NA,NA,NA,NA
AugDry,DAY,NAT,08/09/14,10:30,4.5,0.0,6.502,-124.205,0.034,29.000,29.000,1008.000,30.069,2.470,32.727,8.192,NA,NA,NA,NA,NA,34.829,1.828,0.629481481,NA,NA,NA,NA,NA,NA,NA
